s_id,eng,viet,topic_name
6762,Mary decided never to see him any more.,Mary quyết định không bao giờ gặp anh nữa .,Diaries & Daily Life
6763,She got on a bus and took a seat in the front.,Cô lên xe buýt và ngồi ở phía trước .,Diaries & Daily Life
6764,I'm going on vacation.,Tôi đang trong kỳ nghỉ .,Travel & Adventure
6765,Jim raised his hand,Jim giơ tay,Celebrity & Pop Culture
6766,I think that Tom hasn't left yet,Tôi nghĩ rằng tom chưa rời đi,Diaries & Daily Life
6767,Don't tell me you didn't know,Đừng nói với tôi là bạn không biết,Diaries & Daily Life
6768,You can't see Mt. Fuji from here.,Bạn không thể nhìn thấy mt . fuji từ đây .,Travel & Adventure
6769,I was swamped with work.,Tôi đã bị ngập trong công việc,Diaries & Daily Life
6770,What did you get this time?,Bạn đã nhận được gì trong thời gian này ?,Diaries & Daily Life
6771,I really have to get this done today.,Tôi thực sự phải làm điều này ngày hôm nay,Diaries & Daily Life
6772,You wouldn't believe what happened to me today.,Bạn sẽ không tin những gì đã xảy ra với tôi hôm nay .,Diaries & Daily Life
6773,What's up with Tom?,Có chuyện gì với tom vậy,Diaries & Daily Life
6774,Tom was confused,Tom bối rối,Diaries & Daily Life
6775,Tom is disturbed,Tom bị làm phiền,News & Social Concern
6776,Don't judge me too harshly,Đừng phán xét tôi quá gay gắt,Diaries & Daily Life
6777,Tom wants to see what's in the drawer,Tom muốn xem những gì trong ngăn kéo,Diaries & Daily Life
6778,"You need me, Tom.","Bạn cần tôi , tom .",Diaries & Daily Life
6779,I decided not to study French,Tôi quyết định không học tiếng Pháp,Learning & Educational
6780,Do you think Tom cares?,Bạn có nghĩ rằng tom quan tâm ?,Sports
6781,The police chased the stolen car.,Cảnh sát đuổi theo chiếc xe bị đánh cắp .,News & Social Concern
6782,This is a little gift for you,Đây là một món quà nhỏ cho bạn,Diaries & Daily Life
6783,She supports her family,Cô ấy ủng hộ gia đình,Family
6784,It wasn't something I'd planned to do,Đó không phải là thứ tôi dự định làm,Diaries & Daily Life
6785,Let's play baseball!,Hãy chơi bóng chày !,Sports
6786,He stopped playing baseball last season.,Anh ấy đã dừng chơi bóng chày mùa trước .,Sports
6787,It is likely to rain again.,Trời có khả năng mưa trở lại .,News & Social Concern
6788,The Kaiser asked Theodore Roosevelt to intervene,Người kaiser yêu cầu theodore roosevelt can thiệp,News & Social Concern
6789,My grandmother was gradually becoming forgetful and frail,Bà tôi đã dần quên đi và yếu đuối,Family
6790,Tom has absolutely no idea what he's supposed to do,Tom hoàn toàn không biết anh ấy phải làm gì,Diaries & Daily Life
6791,"He seldom, if ever, goes to church.","Anh hiếm khi , đi đến nhà thờ .",Diaries & Daily Life
6792,I persuaded my mother to lend me her car.,Tôi đã thuyết phục mẹ cho tôi mượn xe của mình .,Diaries & Daily Life
6793,She saved her baby's life at the risk of losing her own.,Cô ấy đã cứu mạng em bé của mình trước nguy cơ mất đi chính mình .,News & Social Concern
6794,Be careful!,Hãy cẩn thận !,News & Social Concern
6795,A major is above a captain,Một thiếu tá là trên một đội trưởng,Sports
6796,I didn't mean to bother you.,Tôi không có ý làm phiền bạn,Diaries & Daily Life
6797,"When he left the navy, he found it hard to adjust to life ashore","Khi anh rời hải quân , anh thấy khó điều chỉnh để sống trên bờ",Travel & Adventure
6798,Tom puts aside some money each week,Tom để dành một số tiền mỗi tuần,Business & Entrepreneurs
6799,He seems to have lived in Spain,Anh ấy dường như đã sống ở Tây ban nha,Diaries & Daily Life
6800,How did you end up living in Tom's basement?,Làm thế nào bạn kết thúc cuộc sống trong tầng hầm của tom ?,Diaries & Daily Life
6801,"Tom, can I speak to you alone, please?","Tom , tôi có thể nói chuyện với bạn một mình được không ?",Diaries & Daily Life
6802,He refused to give them the information.,Ông từ chối cung cấp cho họ thông tin .,News & Social Concern
6803,Tom was leaning against the rail,Tom đang dựa vào đường sắt,Diaries & Daily Life
6804,I'm glad I ran into you,Tôi rất vui vì tôi đã gặp bạn,Diaries & Daily Life
6805,Tom has an identical twin brother and few people can tell them apart,Tom có một người anh em sinh đôi giống hệt nhau và ít người có thể phân biệt họ,Family
6806,Please give me a little more chocolate.,Xin vui lòng cho tôi thêm một chút sô cô la .,Food & Dining
6807,We ran into them at the bus terminal.,Chúng tôi gặp họ tại bến xe buýt .,Diaries & Daily Life
6808,I wonder why Tom ever wanted to marry Mary.,Tôi tự hỏi tại sao tom từng muốn cưới mary .,Relationships
6809,Where can we find the truth?,Chúng ta có thể tìm thấy sự thật ở đâu ?,News & Social Concern
6810,Tom didn't wait another second,Tom không đợi thêm một giây,Diaries & Daily Life
6811,No sailboat is faster than this one,Không có thuyền buồm nào nhanh hơn cái này,Travel & Adventure
6812,I have problems concentrating,Tôi có vấn đề tập trung,Diaries & Daily Life
6813,Who are you bringing to the play?,Bạn đang mang đến cho ai chơi,Sports
6814,Why is it there?,Tại sao nó ở đó,Diaries & Daily Life
6815,There are a lot of beautiful songs on these records,Có rất nhiều bài hát hay trong những bản thu này,Music
6816,I wanted everyone to get along with each other,Tôi muốn mọi người hòa thuận với nhau,Diaries & Daily Life
6817,My dream is to become a baseball player,Ước mơ của tôi là trở thành một cầu thủ bóng chày,Sports
6818,Tom is hopeless,Tom là vô vọng,Sports
6819,Our dog buries bones in the garden,Con chó của chúng tôi chôn xương trong vườn,News & Social Concern
6820,Tom can't find one.,Tom không thể tìm thấy một .,Diaries & Daily Life
6821,Let's split the bill today.,Hãy chia hóa đơn ngay hôm nay .,News & Social Concern
6822,It was a really exciting baseball game,Đó là một trận bóng chày thực sự thú vị,Sports
6823,He's getting cold feet,Anh ấy bị lạnh chân,Diaries & Daily Life
6824,Let's go say hi to them.,Hãy đi chào họ .,Diaries & Daily Life
6825,"The other day, I bought a camera.","Hôm nọ , tôi mua một cái máy ảnh",Diaries & Daily Life
6826,I thought Tom would live forever,Tôi nghĩ tom sẽ sống mãi mãi,Celebrity & Pop Culture
6827,I got your text,Tôi đã nhận được tin nhắn của bạn,Diaries & Daily Life
6828,We had a chat over a cup of coffee,Chúng tôi đã có một cuộc trò chuyện qua một tách cà phê,Food & Dining
6829,"At most, it'll only take three hours","Nhiều nhất , nó sẽ chỉ mất ba giờ",Diaries & Daily Life
6830,I was off duty,Tôi đã nghỉ,Diaries & Daily Life
6831,A boy of seventeen is often as tall as his father.,Một cậu bé mười bảy thường cao bằng cha mình .,Relationships
6832,Tom is turning white.,Tom đang chuyển sang màu trắng .,Celebrity & Pop Culture
6833,I've got to stay here with my horse.,Tôi phải ở đây với con ngựa của tôi .,Diaries & Daily Life
6834,The skaters glided rapidly around the rink,Những người trượt băng lướt nhanh xung quanh sân,Sports
6835,This type of thing never used to happen here.,Loại điều này không bao giờ được sử dụng để xảy ra ở đây .,Diaries & Daily Life
6836,There isn't much time left.,Không còn nhiều thời gian nữa,Diaries & Daily Life
6837,"You can say it like that, but it's rude","Bạn có thể nói như thế , nhưng thật thô lỗ",Diaries & Daily Life
6838,He tore the newspaper in half,Ông xé tờ báo làm đôi,News & Social Concern
6839,What time's your class?,Lớp học của bạn mấy giờ,Diaries & Daily Life
6840,I am grateful to you for your kindness.,Tôi biết ơn bạn vì lòng tốt của bạn .,Diaries & Daily Life
6841,The river was shallow at that point.,Con sông đã cạn ở điểm đó .,News & Social Concern
6842,Tom was with an old friend from high school.,Tom đã ở với một người bạn cũ từ thời trung học .,Relationships
6843,Have you made up your mind to come with me?,Bạn đã quyết định đi với tôi chưa ?,Diaries & Daily Life
6844,The tourists were ripped off at the nightclub,Khách du lịch bị xé toạc tại hộp đêm,News & Social Concern
6845,My gut tells me that Tom is lying.,Ruột của tôi nói với tôi rằng tom đang nói dối .,Diaries & Daily Life
6846,I asked him if he would help me.,Tôi hỏi anh ta nếu anh ta sẽ giúp tôi .,Diaries & Daily Life
6847,My eyesight is getting worse,Thị lực của tôi ngày càng tệ,Diaries & Daily Life
6848,I wasn't aware of that.,Tôi đã không nhận thức được điều đó .,Diaries & Daily Life
6849,Tom will get killed.,Tom sẽ bị giết,News & Social Concern
6850,Would you be friends with me?,Làm bạn với tôi nhé,Diaries & Daily Life
6851,I don't know why that's important.,Tôi không biết tại sao điều đó quan trọng .,Diaries & Daily Life
6852,You're a snob,Bạn là một kẻ hợm hĩnh,Diaries & Daily Life
6853,Would you like tea or coffee?,Bạn muốn trà hay cà phê ?,Food & Dining
6854,He is Ethiopian.,Ông là ethiopian .,News & Social Concern
6855,I can't help thinking Father is still alive,Tôi không thể không nghĩ rằng cha vẫn còn sống,Diaries & Daily Life
6856,Let me give you some pointers,Hãy để tôi cung cấp cho bạn một số gợi ý,Learning & Educational
6857,Tom told me to keep quiet,Tom bảo tôi giữ im lặng,Diaries & Daily Life
6858,I am deeply grateful to you for your kindness,Tôi vô cùng biết ơn bạn vì lòng tốt của bạn,Diaries & Daily Life
6859,These are my parents,Đây là bố mẹ tôi,Family
6860,Tom shot a bear.,Tom bắn một con gấu .,News & Social Concern
6861,I haven't actually looked at it yet,Tôi chưa thực sự nhìn vào nó,Diaries & Daily Life
6862,Tom is now truly on his own.,Tom bây giờ thực sự là của riêng mình .,Celebrity & Pop Culture
6863,"Every time I see you, I think of your mother.","Mỗi lần nhìn thấy mẹ , tôi lại nghĩ về mẹ .",Family
6864,The first paragraph is reassuring,Đoạn đầu tiên được trấn an,Diaries & Daily Life
6865,Mary talked Tom into buying her an expensive diamond ring,Mary nói chuyện với tom khi mua cho cô một chiếc nhẫn kim cương đắt tiền,Diaries & Daily Life
6866,I met Tom at a wine auction a few years ago.,Tôi đã gặp tom tại một cuộc đấu giá rượu vang vài năm trước .,Diaries & Daily Life
6867,I heard you got married.,Tôi nghe nói bạn đã kết hôn,Relationships
6868,I don't like being treated like a child,Tôi không thích bị đối xử như một đứa trẻ,Diaries & Daily Life
6869,Tom went to the horse races once last summer.,Tom đã đi đến các cuộc đua ngựa một lần vào mùa hè năm ngoái .,Sports
6870,Can you spare me a few minutes?,Bạn có thể tha cho tôi vài phút không ?,Diaries & Daily Life
6871,I wish you did not have so many problems.,Tôi ước bạn không có quá nhiều vấn đề,Diaries & Daily Life
6872,It was brave of you to go into the burning house,Bạn thật dũng cảm khi đi vào ngôi nhà đang cháy,News & Social Concern
6873,They were plainly dressed.,Họ ăn mặc giản dị .,Fashion & Style
6874,I managed to get away earlier than I expected.,Tôi đã xoay sở để thoát khỏi sớm hơn tôi mong đợi .,Diaries & Daily Life
6875,A friend told me that story.,Một người bạn kể cho tôi câu chuyện đó .,Diaries & Daily Life
6876,I'm not going to let you down,Tôi sẽ không làm bạn thất vọng,Diaries & Daily Life
6877,Are you available tonight?,Tối nay bạn có rảnh không,Diaries & Daily Life
6878,Start the car.,Khởi động xe .,Diaries & Daily Life
6879,It is interesting for me to read my old diary.,Thật thú vị cho tôi khi đọc cuốn nhật ký cũ của tôi .,Diaries & Daily Life
6880,I think you should go.,Tôi nghĩ bạn nên đi,Travel & Adventure
6881,He devotes himself to his work,Anh ấy cống hiến hết mình cho công việc,Diaries & Daily Life
6882,Why do you want to sell it?,Tại sao bạn muốn bán nó,Business & Entrepreneurs
6883,She always wears clothes which are out of fashion,Cô ấy luôn mặc quần áo lỗi mốt,Fashion & Style
6884,I was absent from school because I was sick,Tôi nghỉ học vì tôi bị ốm,Learning & Educational
6885,Let's sit up front.,Hãy ngồi lên trước .,Diaries & Daily Life
6886,I understand that Mr. Collins has made you an offer of marriage,Tôi hiểu rằng ông collins đã làm cho bạn một lời đề nghị kết hôn,Relationships
6887,Tom just missed hitting me by a hair.,Tom chỉ nhớ đánh tôi bằng một sợi tóc .,Diaries & Daily Life
6888,I'll meet Tom at the library.,Tôi sẽ gặp tom tại thư viện .,Diaries & Daily Life
6889,She scolded her son for being out until late.,Cô mắng con trai vì đã ra ngoài đến khuya .,Diaries & Daily Life
6890,Have you shown this picture to Tom?,Bạn đã hiển thị hình ảnh này cho tom ?,Diaries & Daily Life
6891,Tom is a good sport.,Tom là một môn thể thao tốt,Sports
6892,I'm sorry that I can't come today,Tôi xin lỗi vì tôi không thể đến hôm nay,Diaries & Daily Life
6893,"The meal was great, wasn't it?",Bữa ăn thật tuyệt phải không ?,Food & Dining
6894,Are you a doctor?,Bạn có phải là bác sĩ ?,Fitness & Health
6895,Don't let anyone pass,Đừng để ai vượt qua,Diaries & Daily Life
6896,You're a funny gal.,Bạn là một cô gái vui tính,Diaries & Daily Life
6897,Is it true that Tom can't speak French?,Có thật là tom không thể nói tiếng Pháp ?,Celebrity & Pop Culture
6898,Do you want to watch this movie again?,Bạn có muốn xem lại bộ phim này không ?,Film Tv & Video
6899,Tom is your boss.,Tom là ông chủ của bạn,Business & Entrepreneurs
6900,What are you doing in there?,Bạn đang làm gì ở đó ?,Diaries & Daily Life
6901,Yumi will become a teacher,Yumi sẽ trở thành một giáo viên,Learning & Educational
6902,I was afraid I'd be late.,Tôi sợ tôi sẽ đến muộn .,Diaries & Daily Life
6903,I think it's necessary for you to see him.,Tôi nghĩ rằng nó là cần thiết cho bạn để nhìn thấy anh ta .,Diaries & Daily Life
6904,I have other plans.,Tôi có những kế hoạch khác .,Diaries & Daily Life
6905,It made me laugh,Nó làm tôi cười,Diaries & Daily Life
6906,Tom has a large family to support.,Tom có một gia đình lớn để hỗ trợ .,Family
6907,I persuaded him to go to the party,Tôi đã thuyết phục anh ấy đi dự tiệc,Diaries & Daily Life
6908,"Taking advantage of the holidays, I returned home to Nagoya","Tận dụng những ngày nghỉ , tôi trở về nhà ở nagoya",Travel & Adventure
6909,Tom collapsed on the floor.,Tom ngã gục xuống sàn .,News & Social Concern
6910,Must I hurry?,Tôi phải nhanh lên chứ,Diaries & Daily Life
6911,No one I know likes Tom anymore.,Không ai tôi biết thích tom nữa .,Diaries & Daily Life
6912,Alice didn't walk to the market,Alice không đi bộ đến chợ,Diaries & Daily Life
6913,I'm being sarcastic.,Tôi đang bị mỉa mai .,Diaries & Daily Life
6914,Tom should be in charge,Tom nên phụ trách,Sports
6915,The cigarette smoke annoyed the other passengers,Khói thuốc lá làm phiền những hành khách khác,Diaries & Daily Life
6916,What is Tony doing?,Tony đang làm gì,Diaries & Daily Life
6917,Tom doesn't want to go through another experience like the one he had.,Tom không muốn trải qua một trải nghiệm khác giống như trải nghiệm của anh ấy .,Diaries & Daily Life
6918,It is worth your time to read this book.,Đó là giá trị thời gian của bạn để đọc cuốn sách này .,Learning & Educational
6919,Tom didn't think it would be appropriate for John to give Mary a pearl necklace,Tom đã không nghĩ rằng nó sẽ thích hợp để john tặng mary một chuỗi hạt ngọc trai,Celebrity & Pop Culture
6920,I only found out about that today.,Tôi chỉ phát hiện ra điều đó ngày hôm nay,Diaries & Daily Life
6921,This shows his loyalty to his friends.,Điều này cho thấy lòng trung thành của anh ấy với bạn bè của anh ấy .,Diaries & Daily Life
6922,You can just leave if you want to.,Bạn chỉ có thể rời đi nếu bạn muốn .,Diaries & Daily Life
6923,Have you told Tom where Mary lives?,Bạn đã nói với tom nơi mary sống ?,Diaries & Daily Life
6924,"Since you have a fever, you should stay home","Vì bạn bị sốt , bạn nên ở nhà",Diaries & Daily Life
6925,All we can do is to wait for him.,Tất cả những gì chúng ta có thể làm là chờ đợi anh ấy .,News & Social Concern
6926,Tom is angry and afraid,Tom tức giận và sợ hãi,News & Social Concern
6927,Tom went there to meet Mary,Tom đến đó để gặp mary,Diaries & Daily Life
6928,You're not sick.,Bạn không bị bệnh,Diaries & Daily Life
6929,Tom doesn't smoke or drink,Tom không hút thuốc hay uống,Diaries & Daily Life
6930,I could help Tom,Tôi có thể giúp tom,Diaries & Daily Life
6931,All this bickering is starting to fray my nerves.,Tất cả sự cãi lộn này đang bắt đầu làm tôi lo lắng .,Sports
6932,Her cooking is amazing,Nấu ăn của cô ấy thật tuyệt vời,Food & Dining
6933,Please speak in a louder voice,Làm ơn nói với giọng to hơn,News & Social Concern
6934,I'm lucky to have had good teachers,Tôi may mắn có được những giáo viên giỏi,Diaries & Daily Life
6935,We have to warn them.,Chúng ta phải cảnh báo họ,News & Social Concern
6936,We got to the top of Osaka Tower,Chúng tôi đã lên đỉnh tháp osaka,News & Social Concern
6937,Please turn up the sound.,Làm ơn bật âm thanh lên,Music
6938,I could never make him believe what I said,Tôi không bao giờ có thể làm cho anh ta tin những gì tôi nói,Diaries & Daily Life
6939,Did you warn Tom about the neighbor's dog?,Bạn đã cảnh báo tom về con chó của hàng xóm ?,Diaries & Daily Life
6940,"I borrowed the book from the library, but I haven't read much of it yet","Tôi đã mượn cuốn sách từ thư viện , nhưng tôi chưa đọc nhiều về nó",Learning & Educational
6941,They're not excited,Họ không hào hứng,Diaries & Daily Life
6942,Tom hid the house key under a rock in the garden.,Tom giấu chìa khóa nhà dưới một tảng đá trong vườn .,Diaries & Daily Life
6943,Tom is in desperate need of money,Tom đang rất cần tiền,Business & Entrepreneurs
6944,"On behalf of my classmates, let me say a few words of thanks to you.","Thay mặt các bạn cùng lớp , hãy để tôi nói vài lời cảm ơn đến bạn .",Diaries & Daily Life
6945,"Tom is weak now, but his intellect is sound","Bây giờ tom yếu , nhưng trí tuệ của anh ấy là âm thanh",Celebrity & Pop Culture
6946,Please help me distribute these pamphlets to visitors,Vui lòng giúp tôi phân phát những cuốn sách nhỏ này cho du khách,News & Social Concern
6947,I told you this was a waste of time,Tôi nói với bạn đây là một sự lãng phí thời gian,Diaries & Daily Life
6948,You know Tom really likes you.,Bạn biết tom thực sự thích bạn,Diaries & Daily Life
6949,What format should I use?,Tôi nên sử dụng định dạng nào ?,Diaries & Daily Life
6950,I really appreciate you meeting with me.,Tôi thực sự đánh giá cao bạn gặp tôi .,Diaries & Daily Life
6951,Why didn't you help Tom?,Tại sao bạn không giúp tom ?,Diaries & Daily Life
6952,Tom is stirring his coffee,Tom đang khuấy cà phê,Food & Dining
6953,I'll keep on trying,Tôi sẽ tiếp tục cố gắng,Diaries & Daily Life
6954,She still buys milk.,Cô vẫn mua sữa .,Diaries & Daily Life
6955,You're patient,Bạn kiên nhẫn,Diaries & Daily Life
6956,That wasn't so hard.,Điều đó thật khó,Diaries & Daily Life
6957,We want one.,Chúng tôi muốn một cái,Diaries & Daily Life
6958,They competed with each other for the prize.,Họ cạnh tranh với nhau để giành giải thưởng .,Sports
6959,I resolved I would do my best.,Tôi quyết tâm tôi sẽ làm hết sức,Diaries & Daily Life
6960,Please peel the potatoes.,Hãy gọt vỏ khoai tây .,Food & Dining
6961,Tom very much wants to meet you.,Tom rất muốn gặp bạn,Diaries & Daily Life
6962,Take Tom for a swim,Đưa tom đi bơi,Diaries & Daily Life
6963,You'd better come see this.,Bạn nên đến xem cái này,News & Social Concern
6964,You are out of step.,Bạn ra khỏi bước,News & Social Concern
6965,I wasn't expecting that.,Tôi đã không mong đợi điều đó .,Diaries & Daily Life
6966,You didn't have to say yes.,Bạn không cần phải nói đồng ý .,Diaries & Daily Life
6967,I couldn't understand a word Tom said.,Tôi không thể hiểu một từ tom nói .,Diaries & Daily Life
6968,You don't have to do that if you don't really want to.,Bạn không cần phải làm điều đó nếu bạn không thực sự muốn .,Diaries & Daily Life
6969,I thought you'd say that.,Tôi nghĩ bạn sẽ nói điều đó .,Diaries & Daily Life
6970,I need to pay my rent.,Tôi cần trả tiền thuê nhà,Diaries & Daily Life
6971,He finds it very hard to do without cigarettes for a day.,Anh ấy thấy rất khó để làm mà không có thuốc lá trong một ngày .,News & Social Concern
6972,"""When will you be back?"" ""It all depends on the weather.""",""" khi nào bạn quay lại ? "" "" tất cả phụ thuộc vào thời tiết . """,Diaries & Daily Life
6973,The room was lit by a single candle.,Căn phòng được thắp sáng bởi một ngọn nến,Arts & Culture
6974,I thought he was going to kill me,Tôi nghĩ anh ta sẽ giết tôi,Diaries & Daily Life
6975,I heard Tom is sick.,Tôi nghe nói tom bị bệnh,News & Social Concern
6976,Did you see something?,Bạn đã thấy gì chưa ?,Diaries & Daily Life
6977,The firm has its head office in Osaka.,Công ty có trụ sở chính tại osaka .,Business & Entrepreneurs
6978,Thanks for sticking around until my father got home.,Cảm ơn vì đã gắn bó cho đến khi cha tôi về nhà .,Diaries & Daily Life
6979,Isn't that a surprise?,Đó không phải là một bất ngờ sao ?,Diaries & Daily Life
6980,Tom is intoxicated.,Tom say sưa .,News & Social Concern
6981,Tom is still awake.,Tom vẫn còn thức,Diaries & Daily Life
6982,I think I can do it in my spare time,Tôi nghĩ rằng tôi có thể làm điều đó trong thời gian rảnh,Diaries & Daily Life
6983,I wonder if I can ask you a few questions about Tom,Tôi tự hỏi nếu tôi có thể hỏi bạn một vài câu hỏi về tom,Diaries & Daily Life
6984,I asked Tom if he understood.,Tôi hỏi tom nếu anh ấy hiểu .,Diaries & Daily Life
6985,The man was charged with theft,Người đàn ông bị buộc tội trộm cắp,News & Social Concern
6986,Why are my students lazy?,Tại sao học sinh của tôi lười biếng,Learning & Educational
6987,Tom wondered how many hours it took Mary to get ready for the party,Tom tự hỏi phải mất bao nhiêu giờ để mary sẵn sàng cho bữa tiệc,Diaries & Daily Life
6988,He makes it a rule not to eat too much.,Anh ấy làm cho nó một quy tắc không ăn quá nhiều .,Food & Dining
6989,I can't stand the thought of losing Tom as a friend.,Tôi không thể chịu được suy nghĩ mất tom như một người bạn .,Relationships
6990,"It doesn't matter what game he plays, he always wins.","Không quan trọng anh ta chơi trò gì , anh ta luôn thắng .",Sports
6991,It was inevitable that they would meet,Họ không thể gặp nhau,Diaries & Daily Life
6992,How're you this morning?,Sáng nay bạn thế nào,Diaries & Daily Life
6993,I'm carrying out Tom's orders,Tôi đang thực hiện đơn đặt hàng của tom,Diaries & Daily Life
6994,You're going to have to quit skipping classes,Bạn sẽ phải bỏ qua các lớp học,Learning & Educational
6995,Does he come here?,Anh ấy có đến đây không,Diaries & Daily Life
6996,I can do whatever I like.,Tôi có thể làm bất cứ điều gì tôi thích .,Diaries & Daily Life
6997,Don't you want to come inside?,Bạn không muốn vào trong à ?,Diaries & Daily Life
6998,Tom is going to tell Mary where he thinks John went.,Tom sẽ nói với mary nơi mà anh ấy nghĩ john đã đi .,Diaries & Daily Life
6999,Why didn't you tell Tom the same time you told Mary?,Tại sao bạn không nói với tom cùng lúc bạn nói với mary ?,Diaries & Daily Life
7000,This book is written in English,Cuốn sách này được viết bằng tiếng Anh,Arts & Culture
7001,I'll finish the work in a week or less.,Tôi sẽ hoàn thành công việc trong một tuần hoặc ít hơn .,Diaries & Daily Life
7002,I nearly got myself killed today.,Tôi suýt bị giết hôm nay,Diaries & Daily Life
7003,We had a heavy fog in London,Chúng tôi đã có một sương mù dày đặc ở Luân đôn,News & Social Concern
7004,Tom may come and visit me any time he wants to,Tom có thể đến thăm tôi bất cứ lúc nào anh ấy muốn,Diaries & Daily Life
7005,They say he's the richest person in the city,Họ nói anh ta là người giàu nhất thành phố,News & Social Concern
7006,Tom makes Mary happy,Tom làm cho mary hạnh phúc,Diaries & Daily Life
7007,I'll give him your message when he comes.,Tôi sẽ gửi cho anh ấy tin nhắn của bạn khi anh ấy đến .,Diaries & Daily Life
7008,I will fly to Germany,Tôi sẽ bay đến Đức,Travel & Adventure
7009,I guess I just got carried away,Tôi đoán tôi vừa bị mang đi,Diaries & Daily Life
7010,Tom is hanging a picture on the wall,Tom đang treo một bức tranh trên tường,Diaries & Daily Life
7011,Tom skimmed the list.,Tom lướt qua danh sách .,Diaries & Daily Life
7012,Tom is extremely dangerous,Tom cực kỳ nguy hiểm,News & Social Concern
7013,Mary is Tom's grandmother.,Mary là bà của tom .,Relationships
7014,The couple had a son,Cặp vợ chồng có một đứa con trai,Relationships
7015,Do you think I'm beautiful?,Bạn có thấy tôi xinh đẹp không ?,Diaries & Daily Life
7016,Telephone him if the message is important.,Gọi điện thoại cho anh ấy nếu tin nhắn quan trọng,Diaries & Daily Life
7017,Has Tom ever told you any ghost stories?,Tom đã bao giờ kể cho bạn câu chuyện ma nào chưa ?,Diaries & Daily Life
7018,What's your favorite musical instrument?,Nhạc cụ yêu thích của bạn là gì ?,Music
7019,Tom's father is very strict,Cha của tom rất nghiêm khắc,Family
7020,My father is not always free on Sunday.,Cha tôi không phải lúc nào cũng miễn phí vào chủ nhật .,Diaries & Daily Life
7021,Tom kept us entertained.,Tom giữ cho chúng tôi giải trí .,Diaries & Daily Life
7022,Mr. White went to Canada,Ông . trắng đã đi đến Canada,Celebrity & Pop Culture
7023,Tom sneezed,Tom hắt hơi,Diaries & Daily Life
7024,Tom followed his instincts,Tom làm theo bản năng của mình,Sports
7025,Was Tom killed?,Tom đã bị giết ?,Film Tv & Video
7026,I think I've found a way to help you.,Tôi nghĩ rằng tôi đã tìm thấy một cách để giúp bạn .,Diaries & Daily Life
7027,"When I entered the coffee shop, two young men were watching a wrestling match on television","Khi tôi vào quán cà phê , hai thanh niên đang xem một trận đấu vật trên tivi",Sports
7028,I think the movie is a very heart warming one,Tôi nghĩ bộ phim rất ấm lòng,Film Tv & Video
7029,I'm strong.,Tôi mạnh mẽ .,Diaries & Daily Life
7030,I got a new hat at the department store,Tôi có một chiếc mũ mới tại cửa hàng bách hóa,Fashion & Style
7031,She was alone on Valentine's Day,Cô ấy ở một mình vào ngày lễ tình nhân,Diaries & Daily Life
7032,Tom is a civilian.,Tom là một thường dân .,News & Social Concern
7033,I have more than one girlfriend.,Tôi có nhiều bạn gái,Diaries & Daily Life
7034,This is my destiny.,Đây chính là định mệnh của đời tôi .,Diaries & Daily Life
7035,I'm helping Tom out,Tôi đang giúp tom,Diaries & Daily Life
7036,Tom rented a tuxedo for the prom,Tom thuê một bộ tuxedo cho vũ hội,Fashion & Style
7037,Here is your book,Đây là cuốn sách của bạn,Learning & Educational
7038,I had forgotten all about today's meeting. I'm glad you reminded me.,Tôi đã quên tất cả về cuộc họp hôm nay . Tôi rất vui vì bạn đã nhắc nhở tôi .,Diaries & Daily Life
7039,Tom promised Mary that he'd meet her after school,Tom hứa với mary rằng anh sẽ gặp cô ấy sau giờ học,Youth & Student Life
7040,What if they don't like me?,Nếu họ không thích tôi thì sao ?,Diaries & Daily Life
7041,Please remind me to turn in the paper tomorrow,Xin vui lòng nhắc tôi viết vào ngày mai,Learning & Educational
7042,I hope spring sticks around just a little bit longer. I hate summers.,Tôi hy vọng gậy mùa xuân xung quanh chỉ một chút nữa . tôi ghét mùa hè,Diaries & Daily Life
7043,Would you please close that window?,Bạn vui lòng đóng cửa sổ đó được không ?,Diaries & Daily Life
7044,He complained to her about the food,Anh phàn nàn với cô về thức ăn,Food & Dining
7045,We went up and down by elevator.,Chúng tôi đi lên xuống bằng thang máy .,Diaries & Daily Life
7046,Don't lash out at me just because my brother treated you badly.,Đừng đả kích tôi chỉ vì anh tôi đối xử tệ với bạn .,Family
7047,Tv's boring today,Hôm nay chán,Film Tv & Video
7048,The two men shook hands,Hai người bắt tay nhau,Diaries & Daily Life
7049,Tom looked around at everyone.,Tom nhìn mọi người xung quanh .,Diaries & Daily Life
7050,They shot down thirty-six enemy planes.,Họ bắn hạ ba mươi sáu máy bay địch .,News & Social Concern
7051,I thought going out to eat together would cheer you up,Tôi nghĩ đi ăn cùng nhau sẽ làm bạn vui lên,Diaries & Daily Life
7052,What happened after you got there?,Chuyện gì đã xảy ra sau khi bạn đến đó ?,Diaries & Daily Life
7053,Have you gotten in touch with Tom?,Bạn đã liên lạc với tom chưa ?,Diaries & Daily Life
7054,Tom learned French in school.,Tom học tiếng Pháp ở trường .,Learning & Educational
7055,All Tom did was eat.,Tất cả tom đã ăn,Food & Dining
7056,Tom isn't staying,Tom không ở lại,Sports
7057,I have never read that book.,Tôi chưa bao giờ đọc cuốn sách đó,Learning & Educational
7058,Now go practice,Bây giờ đi thực hành,Sports
7059,She was on the verge of crying.,Cô đang trên bờ vực khóc .,News & Social Concern
